"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.872734551E3,9.162978968E-4,-1.985311974E-3,0.000000000E0
1.872784551E3,-3.054326226E-4,1.679879380E-3,1.221730490E-3
1.872834551E3,-3.054326226E-4,4.581489484E-4,-1.221730490E-3
1.872884551E3,-3.054326226E-4,-1.985311974E-3,0.000000000E0
1.872934551E3,-3.054326226E-4,-7.635815418E-4,0.000000000E0
1.872984551E3,-1.527163084E-3,-7.635815418E-4,-1.221730490E-3
1.873034551E3,-3.054326226E-4,1.679879380E-3,0.000000000E0
1.873084551E3,9.162978968E-4,-1.985311974E-3,-1.221730490E-3
1.873134551E3,9.162978968E-4,-7.635815418E-4,1.221730490E-3
1.873184551E3,-3.054326226E-4,1.679879380E-3,-1.221730490E-3
1.873234551E3,9.162978968E-4,-7.635815418E-4,0.000000000E0
1.873284551E3,9.162978968E-4,-7.635815418E-4,1.221730490E-3
1.873334551E3,-1.527163084E-3,4.581489484E-4,0.000000000E0
1.873384551E3,-1.527163084E-3,-7.635815418E-4,0.000000000E0
1.873434551E3,-2.596177394E-3,2.901609987E-3,2.443460980E-3
1.873484551E3,-3.054326226E-4,-1.985311974E-3,-1.221730490E-3
1.873534551E3,-3.054326226E-4,-7.635815418E-4,0.000000000E0
1.873584551E3,9.162978968E-4,-7.635815418E-4,-1.221730490E-3
1.873634551E3,9.162978968E-4,1.679879380E-3,1.221730490E-3
1.873684551E3,-3.054326226E-4,4.581489484E-4,-1.221730490E-3
1.873734551E3,2.138028387E-3,-7.635815418E-4,0.000000000E0
1.873784551E3,-1.527163084E-3,4.581489484E-4,0.000000000E0
1.873834551E3,9.162978968E-4,-7.635815418E-4,0.000000000E0
1.873884551E3,-3.054326226E-4,-7.635815418E-4,0.000000000E0
1.873934551E3,-3.054326226E-4,4.581489484E-4,0.000000000E0
1.873984551E3,-3.054326226E-4,-7.635815418E-4,0.000000000E0
1.874034551E3,-1.527163084E-3,3.054326226E-4,1.527163113E-4
1.874084551E3,-3.054326226E-4,3.054326226E-4,-1.069014193E-3
1.874134551E3,9.162978968E-4,-9.162978968E-4,1.527163113E-4
1.874184551E3,9.162978968E-4,3.054326226E-4,1.527163113E-4
1.874234551E3,9.162978968E-4,3.054326226E-4,1.374446787E-3
1.874284551E3,-3.054326226E-4,-9.162978968E-4,1.527163113E-4
1.874334551E3,-3.054326226E-4,3.054326226E-4,1.527163113E-4
1.874384551E3,-3.054326226E-4,1.527163084E-3,-1.069014193E-3
1.874434551E3,-3.054326226E-4,3.054326226E-4,1.374446787E-3
1.874484551E3,9.162978968E-4,3.054326226E-4,1.527163113E-4
1.874534551E3,-3.054326226E-4,3.054326226E-4,-1.069014193E-3
1.874584551E3,-3.054326226E-4,3.054326226E-4,-1.069014193E-3
1.874634551E3,-3.054326226E-4,-9.162978968E-4,1.527163113E-4
1.874684551E3,-3.054326226E-4,-9.162978968E-4,-1.069014193E-3
1.874734551E3,9.162978968E-4,3.054326226E-4,1.374446787E-3
1.874784551E3,2.138028387E-3,-9.162978968E-4,-1.069014193E-3
1.874834551E3,-3.054326226E-4,-9.162978968E-4,-1.069014193E-3
1.874884551E3,-3.054326226E-4,-2.138028387E-3,-1.069014193E-3
1.874934551E3,-2.748893574E-3,3.054326226E-4,1.527163113E-4
1.874984551E3,-3.054326226E-4,3.054326226E-4,1.374446787E-3
1.875034551E3,9.162978968E-4,3.054326226E-4,1.527163113E-4
1.875084551E3,-3.054326226E-4,-9.162978968E-4,1.527163113E-4
1.875134551E3,-1.527163084E-3,3.054326226E-4,1.374446787E-3
1.875184551E3,-3.054326226E-4,3.054326226E-4,1.374446787E-3
1.875234551E3,-3.054326226E-4,3.054326226E-4,1.527163113E-4
1.875284551E3,-3.054326226E-4,1.527163084E-3,1.527163113E-4
1.875334551E3,9.162978968E-4,3.054326226E-4,-1.069014193E-3
1.875384551E3,-3.054326226E-4,-9.162978968E-4,1.527163113E-4
1.875434551E3,-3.054326226E-4,3.054326226E-4,1.527163113E-4
1.875484551E3,-3.054326226E-4,2.748893574E-3,1.527163113E-4
1.875534551E3,-1.527163084E-3,-2.138028387E-3,-1.069014193E-3
1.875584551E3,-1.527163084E-3,3.054326226E-4,1.527163113E-4
1.875634551E3,9.162978968E-4,3.054326226E-4,-1.069014193E-3
1.875684551E3,-2.748893574E-3,3.054326226E-4,1.527163113E-4
1.875734551E3,-2.748893574E-3,4.581489484E-4,-1.069014193E-3
1.875784551E3,-3.054326226E-4,-7.635815418E-4,1.374446787E-3
1.875834551E3,-1.527163084E-3,4.581489484E-4,1.374446787E-3
1.875884551E3,9.162978968E-4,-7.635815418E-4,-1.069014193E-3
1.875934551E3,9.162978968E-4,4.581489484E-4,1.374446787E-3
1.875984551E3,-3.054326226E-4,-7.635815418E-4,1.527163113E-4
1.876034551E3,-3.054326226E-4,1.679879380E-3,1.527163113E-4
1.876084551E3,-1.527163084E-3,-7.635815418E-4,1.527163113E-4
1.876134551E3,-3.054326226E-4,1.679879380E-3,1.527163113E-4
1.876184551E3,-3.054326226E-4,4.581489484E-4,1.527163113E-4
1.876234551E3,-3.054326226E-4,4.581489484E-4,1.374446787E-3
1.876284551E3,-3.054326226E-4,-7.635815418E-4,1.527163113E-4
1.876334551E3,2.138028387E-3,-7.635815418E-4,1.374446787E-3
1.876384551E3,9.162978968E-4,4.581489484E-4,1.527163113E-4
1.876434551E3,9.162978968E-4,-7.635815418E-4,1.527163113E-4
1.876484551E3,-3.054326226E-4,-7.635815418E-4,-1.069014193E-3
1.876534551E3,-3.054326226E-4,-7.635815418E-4,1.527163113E-4
1.876584551E3,9.162978968E-4,4.581489484E-4,1.527163113E-4
1.876634551E3,-3.054326226E-4,4.581489484E-4,1.527163113E-4
1.876684551E3,-3.054326226E-4,4.581489484E-4,1.527163113E-4
1.876734551E3,-3.054326226E-4,-1.985311974E-3,-1.069014193E-3
1.876784551E3,-3.054326226E-4,-1.985311974E-3,1.527163113E-4
1.876834551E3,9.162978968E-4,4.581489484E-4,1.527163113E-4
1.876884551E3,9.162978968E-4,-7.635815418E-4,-1.069014193E-3
1.876934551E3,9.162978968E-4,-7.635815418E-4,1.527163113E-4
1.876984551E3,-3.054326226E-4,1.679879380E-3,1.527163113E-4
1.877034551E3,9.162978968E-4,4.581489484E-4,1.527163113E-4
1.877084551E3,-3.054326226E-4,4.581489484E-4,1.527163113E-4
1.877134551E3,-2.748893574E-3,1.679879380E-3,1.527163113E-4
1.877184551E3,-1.527163084E-3,4.581489484E-4,1.527163113E-4
1.877234551E3,9.162978968E-4,4.581489484E-4,1.527163113E-4
1.877284551E3,-3.054326226E-4,4.581489484E-4,1.374446787E-3
1.877334551E3,-1.374446787E-3,-9.162978968E-4,-1.069014193E-3
1.877384551E3,1.069014193E-3,-9.162978968E-4,1.527163113E-4
1.877434551E3,-1.374446787E-3,-9.162978968E-4,-1.069014193E-3
1.877484551E3,1.069014193E-3,3.054326226E-4,1.527163113E-4
1.877534551E3,2.290744567E-3,3.054326226E-4,-1.069014193E-3
1.877584551E3,-1.527163113E-4,-9.162978968E-4,1.527163113E-4
1.877634551E3,2.290744567E-3,-9.162978968E-4,1.527163113E-4
1.877684551E3,1.069014193E-3,-9.162978968E-4,1.527163113E-4
1.877734551E3,-1.527163113E-4,1.527163084E-3,1.527163113E-4
1.877784551E3,1.069014193E-3,1.527163084E-3,1.527163113E-4
1.877834551E3,-1.374446787E-3,-9.162978968E-4,1.374446787E-3
